year,avg_temp
1838,19.56
1839,19.90
1840,
1841,
1842,
1843,20.57
1844,19.98
1845,19.86
1846,20.60
1847,17.36
1848,
1849,20.64
1850,20.48
1851,20.44
1852,20.58
1853,20.20
1854,20.13
1855,20.06
1856,19.93
1857,20.24
1858,20.60
1859,20.82
1860,20.23
1861,20.72
1862,20.53
1863,20.59
1864,20.43
1865,20.60
1866,20.74
1867,21.45
1868,20.66
1869,20.80
1870,20.62
1871,20.66
1872,20.55
1873,20.60
1874,20.61
1875,20.44
1876,20.38
1877,20.68
1878,20.99
1879,20.61
1880,20.26
1881,20.58
1882,20.31
1883,20.12
1884,20.36
1885,20.58
1886,20.28
1887,19.90
1888,20.13
1889,20.58
1890,20.31
1891,20.16
1892,20.46
1893,20.12
1894,20.43
1895,20.55
1896,21.02
1897,20.83
1898,20.19
1899,20.24
1900,20.73
1901,20.50
1902,20.64
1903,20.30
1904,20.12
1905,20.65
1906,20.51
1907,20.64
1908,20.86
1909,20.57
1910,20.31
1911,20.90
1912,20.29
1913,20.20
1914,20.46
1915,20.52
1916,20.75
1917,20.72
1918,20.66
1919,20.60
1920,20.68
1921,20.74
1922,21.03
1923,20.86
1924,20.50
1925,20.80
1926,20.82
1927,20.74
1928,20.99
1929,20.71
1930,21.20
1931,20.79
1932,20.95
1933,20.92
1934,20.72
1935,20.33
1936,21.20
1937,21.48
1938,20.89
1939,20.94
1940,21.32
1941,21.45
1942,21.25
1943,20.89
1944,20.78
1945,21.41
1946,21.50
1947,21.12
1948,21.60
1949,21.34
1950,21.29
1951,21.40
1952,21.29
1953,21.38
1954,21.48
1955,20.89
1956,20.93
1957,21.53
1958,21.06
1959,21.05
1960,21.00
1961,20.95
1962,20.95
1963,20.97
1964,20.82
1965,21.04
1966,20.88
1967,20.73
1968,20.73
1969,21.22
1970,20.90
1971,20.76
1972,21.33
1973,20.89
1974,20.79
1975,20.68
1976,21.00
1977,21.30
1978,21.17
1979,21.18
1980,21.25
1981,20.90
1982,21.52
1983,20.93
1984,20.88
1985,20.79
1986,20.91
1987,20.94
1988,20.91
1989,21.12
1990,21.46
1991,21.20
1992,21.00
1993,21.04
1994,21.46
1995,21.50
1996,21.08
1997,20.99
1998,21.38
1999,20.86
2000,21.12
2001,21.23
2002,21.50
2003,21.51
2004,21.24
2005,21.42
2006,21.50
2007,21.35
2008,21.02
2009,21.76
2010,20.90
2011,21.55
2012,21.52
2013,22.19
